Name,City Area,Price For Two,Ratings,Tags,Link
Polpetta - Almondegaria Artesanal,Arroios,25.0,4.5,"Portuguesa, Comida saudável",https://www.zomato.com/pt/grande-lisboa/polpetta-almondegaria-artesanal-arroios-lisboa/info
Kokoro Ramen & Sushi Bar,Arroios,20.0,4.4,"Ramen, Japonesa",https://www.zomato.com/pt/grande-lisboa/kokoro-ramen-sushi-bar-arroios-lisboa/info
Mezze,Arroios,35.0,4.5,Médio Oriente,https://www.zomato.com/pt/grande-lisboa/mezze-arroios-lisboa/info
Grande Palácio Hong Kong,Arroios,35.0,4.3,Chinesa,https://www.zomato.com/pt/grande-lisboa/grande-palácio-hong-kong-arroios-lisboa/info
Beni's Gelato & Friends,Arroios,8.0,4.0,"Gelados, Sobremesa, Crepes",https://www.zomato.com/pt/grande-lisboa/benis-gelato-friends-arroios-lisboa/info
Vasku's Grill,Arroios,55.0,4.3,"Grelhados, Churrasco, Fondue, Bifes",https://www.zomato.com/pt/grande-lisboa/vaskus-grill-arroios-lisboa/info
Café Império,Arroios,30.0,4.1,"Portuguesa, Bifes, Italiana",https://www.zomato.com/pt/grande-lisboa/café-império-arroios-lisboa/info
Mr. Lu,Arroios,30.0,4.1,Chinesa,https://www.zomato.com/pt/grande-lisboa/mr-lu-arroios-lisboa/info
Bio,Arroios,20.0,4.5,"Comida saudável, Vegetariana",https://www.zomato.com/pt/grande-lisboa/bio-arroios-lisboa/info
La Trattoria,Rato,40.0,4.3,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/la-trattoria-rato-lisboa/info
Cervejaria Sem Vergonha,Rato,45.0,4.4,"Peixe fresco, Marisqueira, Portuguesa",https://www.zomato.com/pt/grande-lisboa/cervejaria-sem-vergonha-rato-lisboa/info
Il Mercato,Rato,60.0,4.5,Italiana,https://www.zomato.com/pt/grande-lisboa/il-mercato-rato-lisboa/info
Chão de Pedra,Rato,25.0,4.1,Portuguesa,https://www.zomato.com/pt/chaodepedra/info
Sushisan,Rato,45.0,4.0,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/sushisan-rato-lisboa/info
Lebanese Corner,Rato,20.0,4.2,"Libanesa, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/lebanese-corner-rato-lisboa/info
La Campania,Rato,45.0,4.4,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/la-campania-rato-lisboa/info
IIIMPAR,Rato,50.0,4.3,"Grelhados, Portuguesa",https://www.zomato.com/pt/grande-lisboa/iiimpar-rato-lisboa/info
Madam Bō Handmade Dumplings,Rato,18.0,4.0,Chinesa,https://www.zomato.com/pt/grande-lisboa/madam-bō-handmade-dumplings-rato-lisboa/info
TOPO,Mouraria,45.0,4.3,"Autor, Petiscos, Bebidas",https://www.zomato.com/pt/grande-lisboa/topo-mouraria-lisboa/info
Ramiro,Mouraria,60.0,4.9,Marisqueira,https://www.zomato.com/pt/grande-lisboa/ramiro-mouraria-lisboa/info
Kin,Mouraria,40.0,4.3,"Oriental, Bebidas",https://www.zomato.com/pt/grande-lisboa/kin-mouraria-lisboa/info
O Cantinho do Aziz,Mouraria,25.0,4.1,"Moçambicana, Africana",https://www.zomato.com/pt/grande-lisboa/o-cantinho-do-aziz-mouraria-lisboa/info
Pho-Pu,Mouraria,20.0,4.2,Vietnamita,https://www.zomato.com/pt/grande-lisboa/pho-pu-mouraria-lisboa/info
Ghoroa Restaurante Indiano,Mouraria,25.0,4.5,Indiana,https://www.zomato.com/pt/grande-lisboa/ghoroa-restaurante-indiano-mouraria-lisboa/info
The Food Temple,Mouraria,30.0,4.3,"Fusão, Comida saudável, Vegetariana",https://www.zomato.com/pt/grande-lisboa/the-food-temple-mouraria-lisboa/info
Chinês Clandestino,Mouraria,16.0,3.5,Chinesa,https://www.zomato.com/pt/grande-lisboa/chinês-clandestino-mouraria-lisboa/info
